ligand,5-HT1A,5-HT2A,5-HT2B,5-HT2C,CB1,CB2,D1,D2,DAT,KOR,MOR,NET,SERT
2C-B,-55458.14798355103,-59980.76057434082,-48149.84662628174,-49957.57108306885,-55375.32071304321,-58412.18280792236,-71507.4236946106,-60553.21011149883,-58684.16870117188,-62820.89643383026,-33087.356566905975,-57408.973487854,-68746.10458374023
2C-E,-55506.18102264404,-59832.3571472168,-48186.417572021484,-50067.4921875,-55332.86866569519,-58334.00466156006,-71581.06929016113,-60603.62494659424,-58677.59243774414,-62857.00902748108,-33161.82249403,-57207.911334991455,-68739.89112091064
2C-I,-55539.93026351929,-59880.1321105957,-48169.20993423462,-49953.317459106445,-55426.60039138794,-58366.04196929932,-71530.51768684387,-60603.36763811112,-58615.9757232666,-62848.493392944336,-33028.54949235916,-56930.09211730957,-68663.57390594482
5-MeO-DMT,-55510.07722854614,-59999.1417388916,-48220.96746063232,-49965.75513839722,-55442.80249786377,-58444.64440155029,-71588.32279014587,-60568.665575027466,-58533.68878173828,-62795.18715238571,-33105.24061727524,-57076.92571640015,-68587.18318939209
Amphetamine,-55531.64185142517,-60132.91835021973,-47972.952709198,-49945.53170776367,-55439.74713516235,-58529.76759338379,-71575.88599014282,-60547.678431510925,-58750.803771972656,-62785.38227319717,-33082.90466117859,-57271.659507751465,-68694.88383483887
Cocaine,-55435.06581878662,-59874.71501159668,-48157.11401367188,-49948.06499481201,-55201.26874923706,-58552.92360687256,-71365.50621032715,-60597.293783187866,-58779.40472412109,-62761.80386829376,-33168.90646004677,-57261.58703613281,-68630.88248825073
DMT,-55512.24360656738,-59854.40156555176,-48058.19159698486,-50016.96430969238,-55453.18320465088,-58498.4243850708,-71569.06909942627,-60691.62482833862,-58650.56425476074,-62889.121834754944,-33183.23231601715,-57243.79316711426,-68493.50025939941
GHB,-55598.17036819458,-60089.173583984375,-48364.84457397461,-50051.789878845215,-55544.9268951416,-58437.951499938965,-71511.5068435669,-60617.6099395752,-58566.68453216553,-62721.386118888855,-33145.522624492645,-57374.47610473633,-68412.68808746338
Ibogaine,-55544.56590270996,-60269.08366394043,-48109.44240951538,-50041.40860748291,-55120.669298172,-58360.40086364746,-71390.03792953491,-60580.16500854492,-58682.23896789551,-62719.4750494957,-33130.16592311859,-57297.623046875,-68372.30688858032
Ketamine,-55529.91361236572,-59981.88604736328,-48110.17333602905,-49955.32154083252,-55243.14805603027,-58447.06745529175,-71442.0717830658,-60618.034507751465,-58708.41044616699,-62803.18236780167,-33131.79871845245,-57214.016746521,-69047.27806091309
LSD,-55432.63806152344,-60081.00810241699,-48236.79821395874,-50061.982345581055,-55270.52907180786,-58456.51306915283,-71361.45032310486,-60536.95516395569,-58755.23190307617,-62735.61456871033,-33032.57637786865,-57300.06595611572,-68420.24250030518
MDA,-55440.34648513794,-60177.515716552734,-48116.81349182129,-50037.629917144775,-55249.65502357483,-58488.17189025879,-71546.57806015015,-60657.396641254425,-58769.80061340332,-62790.088357925415,-33051.25999927521,-57211.36011505127,-69004.76071166992
MDMA,-55581.01373291016,-60123.25247192383,-48111.67291641235,-50079.87654876709,-55507.049907684326,-58393.5608291626,-71459.34759140015,-60626.97847294808,-58664.48387908936,-62916.53311920166,-33075.70749378204,-57413.48400115967,-68595.97593688965
Mescaline,-55529.77498626709,-59894.093841552734,-48182.35974121094,-49946.56230926514,-55449.37585449219,-58480.39613342285,-71630.72312545776,-60675.30281352997,-58698.15909576416,-62843.05076265335,-33059.64122772217,-57354.351318359375,-68855.54527282715
Methamphetamine,-55544.08853149414,-60175.547424316406,-48217.81225204468,-50055.48957061768,-55416.01569366455,-58484.61627960205,-71502.53221130371,-60608.88000416756,-58676.33615112305,-62824.2336063385,-33043.22097349167,-57420.78484344482,-68747.48030853271
Morphine,-55600.814697265625,-59964.16467285156,-48228.85494232178,-50062.5858001709,-55284.88478088379,-58320.96611785889,-71548.85316467285,-60560.72160243988,-58661.70708465576,-62772.80068778992,-33110.04700374603,-57396.81544494629,-68333.23805999756
PCP,-55331.37163543701,-59999.38154602051,-47686.91472244263,-49932.702865600586,-55473.21736526489,-58506.02612304688,-71488.46171951294,-60477.81904792786,-58702.25371551514,-62798.02520418167,-33208.793192863464,-57325.73278808594,-68581.05822753906
Psilocin,-55527.30944442749,-60003.93310546875,-48104.07472991943,-49980.72188568115,-55402.41595077515,-58488.604637146,-71471.9886379242,-60741.8414554596,-58642.057876586914,-62864.26852226257,-33061.79770350456,-57340.52992248535,-68746.69857788086
Salvinorin_A,-55484.105812072754,-60044.92987060547,-48171.0005645752,-50056.66636657715,-55350.783153533936,-58492.52548980713,-71466.78315925598,-60647.68222999573,-58653.19075012207,-62902.766867637634,-33052.659708976746,-57318.0403213501,-68948.62629699707
