pair,final_energy,energy_drop,receptor,ligand
5-HT1A_1B-LSD,-55488.61971282959,65135.601305007935,5-HT1A,1B-LSD
5-HT1A_1P-ETH-LAD,-55518.57610321045,53001.50442695618,5-HT1A,1P-ETH-LAD
5-HT1A_1P-LSD,-55495.580070495605,76175.04671382904,5-HT1A,1P-LSD
5-HT1A_1V-LSD,-55414.93117523193,61347.82126235962,5-HT1A,1V-LSD
5-HT1A_1cP-AL-LAD,-55483.18173980713,56883.003187179565,5-HT1A,1cP-AL-LAD
5-HT1A_1cP-LSD,-55535.102279663086,62522.371784210205,5-HT1A,1cP-LSD
5-HT1A_1cP-MiPLA,-55562.47312927246,58460.86124038696,5-HT1A,1cP-MiPLA
"5-HT1A_2,5-DMA",-55483.080642700195,57508.80930328369,5-HT1A,"2,5-DMA"
5-HT1A_2-Aminoindane,-55409.12567901611,61560.553634643555,5-HT1A,2-Aminoindane
5-HT1A_2-FA,-55540.86269378662,58536.295353889465,5-HT1A,2-FA
5-HT1A_2-FEA,-55507.594593048096,72230.39125442505,5-HT1A,2-FEA
5-HT1A_2-FMA,-55431.77867126465,61619.52791881561,5-HT1A,2-FMA
5-HT1A_2-Fluorodeschloroketamine,-55480.514389038086,62107.61440658569,5-HT1A,2-Fluorodeschloroketamine
5-HT1A_25B-NBOH,-55469.91926574707,59139.21119117737,5-HT1A,25B-NBOH
5-HT1A_25B-NBOMe,-55512.80937957764,61929.55554199219,5-HT1A,25B-NBOMe
5-HT1A_25C-NBOH,-55432.17311859131,63552.45822143555,5-HT1A,25C-NBOH
5-HT1A_25C-NBOMe,-55450.53202819824,59718.51902675629,5-HT1A,25C-NBOMe
5-HT1A_25D-NBOMe,-55469.900733947754,58448.6063079834,5-HT1A,25D-NBOMe
5-HT1A_25E-NBOH,-55663.52255630493,64330.03899383545,5-HT1A,25E-NBOH
5-HT1A_25I-NBOH,-55443.7527923584,65218.12582015991,5-HT1A,25I-NBOH
5-HT1A_25I-NBOMe,-55447.65016937256,61568.09917259216,5-HT1A,25I-NBOMe
5-HT1A_25N-NBOMe,-55598.056827545166,59661.00161933899,5-HT1A,25N-NBOMe
5-HT1A_2C-B,-55458.147983551025,55423.041831970215,5-HT1A,2C-B
5-HT1A_2C-B-FLY,-55463.68314743042,75544.14154052734,5-HT1A,2C-B-FLY
5-HT1A_2C-C,-55475.56601715088,64668.1764831543,5-HT1A,2C-C
5-HT1A_2C-D,-55519.298110961914,65982.14283752441,5-HT1A,2C-D
5-HT1A_2C-E,-55506.18102264404,80011.20635604858,5-HT1A,2C-E
5-HT1A_2C-H,-55616.26559448242,63598.361225128174,5-HT1A,2C-H
5-HT1A_2C-I,-55539.93026351929,75035.77534103394,5-HT1A,2C-I
5-HT1A_2C-P,-55505.479568481445,61902.410583496094,5-HT1A,2C-P
5-HT1A_2C-T,-55581.36114501953,63471.95790100098,5-HT1A,2C-T
5-HT1A_2C-T-2,-55545.73787689209,72865.00131511688,5-HT1A,2C-T-2
5-HT1A_2C-T-21,-55512.97560119629,77374.58762454987,5-HT1A,2C-T-21
5-HT1A_2C-T-7,-55610.55385971069,91181.66723537445,5-HT1A,2C-T-7
5-HT1A_2M2B,-55450.74144744873,53659.118171691895,5-HT1A,2M2B
"5-HT1A_3,4-CTMP",-55348.561851501465,59756.712032318115,5-HT1A,"3,4-CTMP"
5-HT1A_3-FA,-55513.660499572754,59064.61763000488,5-HT1A,3-FA
5-HT1A_3-FEA,-55485.00164794922,56798.271532058716,5-HT1A,3-FEA
5-HT1A_3-FMA,-55464.75144958496,66248.18174314499,5-HT1A,3-FMA
5-HT1A_3-FPM,-55422.87755584717,70884.39072608948,5-HT1A,3-FPM
5-HT1A_3-HO-PCE,-55497.867362976074,106614.06858253479,5-HT1A,3-HO-PCE
5-HT1A_3-HO-PCP,-55499.79452896118,53305.33436584473,5-HT1A,3-HO-PCP
5-HT1A_3-MMC,-55501.74701690674,59073.749101638794,5-HT1A,3-MMC
5-HT1A_3-MeO-PCE,-55433.355308532715,58048.39100265503,5-HT1A,3-MeO-PCE
5-HT1A_3-MeO-PCMo,-55459.579540252686,56426.68506240845,5-HT1A,3-MeO-PCMo
5-HT1A_3-MeO-PCP,-55391.316802978516,59104.23313188553,5-HT1A,3-MeO-PCP
5-HT1A_3C-E,-55546.07878112793,86693.03147506714,5-HT1A,3C-E
5-HT1A_3C-P,-55520.02233123779,62869.330078125,5-HT1A,3C-P
5-HT1A_4-AcO-DET,-55587.55204772949,58628.123554229736,5-HT1A,4-AcO-DET
5-HT1A_4-AcO-DMT,-55537.12014770508,63165.07576942444,5-HT1A,4-AcO-DMT
5-HT1A_4-AcO-DiPT,-55454.41611480713,80889.92158603668,5-HT1A,4-AcO-DiPT
5-HT1A_4-AcO-MET,-55519.42443847656,54107.013370513916,5-HT1A,4-AcO-MET
5-HT1A_4-AcO-MiPT,-55472.644050598145,59263.4645690918,5-HT1A,4-AcO-MiPT
5-HT1A_4-FA,-55587.959491729736,65955.58617973328,5-HT1A,4-FA
5-HT1A_4-FMA,-55390.12693786621,63148.70471954346,5-HT1A,4-FMA
5-HT1A_4-HO-DET,-55591.14487075806,65985.10528373718,5-HT1A,4-HO-DET
5-HT1A_4-HO-DPT,-55491.05629348755,62078.98420715332,5-HT1A,4-HO-DPT
5-HT1A_4-HO-DiPT,-55482.08055114746,60478.899477005005,5-HT1A,4-HO-DiPT
5-HT1A_4-HO-EPT,-55520.3857421875,54823.1298828125,5-HT1A,4-HO-EPT
5-HT1A_4-HO-MET,-55568.15216445923,61831.29030609131,5-HT1A,4-HO-MET
5-HT1A_4-HO-MPT,-55497.610122680664,58789.99582672119,5-HT1A,4-HO-MPT
5-HT1A_4-HO-MiPT,-55486.832122802734,84989.67423629761,5-HT1A,4-HO-MiPT
5-HT1A_4-MeO-PCP,-55441.716453552246,56561.720697402954,5-HT1A,4-MeO-PCP
5-HT1A_4F-EPH,-55497.9468460083,71856.52070522308,5-HT1A,4F-EPH
5-HT1A_4F-MPH,-55520.24201965332,59818.025230407715,5-HT1A,4F-MPH
"5-HT1A_5,6-MDO-DMT",-55520.70803833008,70479.91627502441,5-HT1A,"5,6-MDO-DMT"
5-HT1A_5-APB,-55519.85272216797,59971.077224731445,5-HT1A,5-APB
5-HT1A_5-Hydroxytryptophan,-55467.58629608154,62089.3148317337,5-HT1A,5-Hydroxytryptophan
5-HT1A_5-MAPB,-55553.89099121094,65993.2082452774,5-HT1A,5-MAPB
5-HT1A_5-MeO-DALT,-55511.0442276001,58175.84659576416,5-HT1A,5-MeO-DALT
5-HT1A_5-MeO-DMT,-55510.07722854614,62021.871589660645,5-HT1A,5-MeO-DMT
5-HT1A_5-MeO-DiBF,-55499.42038726807,58538.22851371765,5-HT1A,5-MeO-DiBF
5-HT1A_5-MeO-DiPT,-55496.88290786743,59226.97221946716,5-HT1A,5-MeO-DiPT
5-HT1A_5-MeO-MiPT,-55498.89974975586,62007.1953163147,5-HT1A,5-MeO-MiPT
