ligand,mean,std,count
GluA2_5-MeO-MiPT,-127400.70280456544,,1
GluA2_DOI,-127396.45364379884,,1
GluA2_Diazepam,-127382.29595947266,,1
GluA2_Bromantane,-127377.32402038574,,1
GluA2_Progesterone,-127375.81608581544,,1
GluA2_25D-NBOMe,-127329.96626281738,,1
GluA2_Meclofenoxate,-127321.04217529295,,1
GluA2_Clonazepam,-127314.12316894533,,1
GluA2_Flunitrazepam,-127313.88415527344,,1
GluA2_THJ-018,-127302.01666259766,,1
GluA2_Sufentanil,-127300.3931274414,,1
GluA2_Phenobarbital,-127293.14500427246,,1
GluA2_Diphenhydramine,-127292.65165710448,,1
GluA2_4-HO-EPT,-127282.42280578612,,1
GluA2_Flualprazolam,-127278.22319030762,,1
GluA2_2C-B-FLY,-127276.54246520996,,1
GluA2_STS-135,-127274.87237548828,,1
GluA2_DET,-127274.74433898926,,1
GluA2_Hexedrone,-127271.7403717041,,1
GluA2_TMA-6,-127271.3906402588,,1
GluA2_Mescaline,-127267.89582824708,,1
GluA2_Histamine,-127266.65914916992,,1
GluA2_25B-NBOH,-127264.65956115724,,1
GluA2_25C-NBOMe,-127262.7661895752,,1
GluA2_Kava,-127257.7640991211,,1
GluA2_Cannabidiol,-127256.68542480467,,1
GluA2_4-HO-MET,-127253.57118225098,,1
GluA2_PMA,-127248.65090942384,,1
GluA2_Adrafinil,-127247.10552978516,,1
GluA2_Methallylescaline,-127243.90518188477,,1
GluA2_MiPT,-127238.74609375,,1
GluA2_Clonidine,-127237.08206176758,,1
GluA2_JWH-073,-127233.50619506836,,1
GluA2_Acetylfentanyl,-127231.58389282228,,1
GluA2_4F-EPH,-127230.8699645996,,1
GluA2_Tianeptine,-127225.9826965332,,1
GluA2_Isopropylphenidate,-127225.2025604248,,1
GluA2_MCPP,-127223.26722717284,,1
GluA2_A-PVP,-127222.44943237305,,1
GluA2_DPT,-127221.2472229004,,1
GluA2_Clonazolam,-127221.1473083496,,1
GluA2_Phenethylamine_(compound),-127218.24255371094,,1
GluA2_MDPV,-127212.255569458,,1
GluA2_5-MeO-DMT,-127205.72399902344,,1
GluA2_Cocaine,-127204.98231506348,,1
GluA2_Ipomoea_tricolor,-127203.66923522948,,1
GluA2_PCP,-127202.92842102052,,1
GluA2_Diclazepam,-127202.7041015625,,1
GluA2_4-FA,-127200.73788452148,,1
GluA2_Methamphetamine,-127200.6323852539,,1
GluA2_Nifoxipam,-127197.9889831543,,1
GluA2_NBx,-127192.66194152832,,1
GluA2_25E-NBOH,-127191.8801574707,,1
GluA2_HXE,-127189.67599487305,,1
GluA2_Alprazolam,-127187.65898132324,,1
GluA2_Tetrahydrocannabinol,-127186.5288848877,,1
GluA2_MDMA,-127186.48365783691,,1
GluA2_Tizanidine,-127184.7324066162,,1
GluA2_THJ-2201,-127184.03622436523,,1
GluA2_3-MeO-PCMo,-127183.59985351562,,1
GluA2_Theacrine,-127182.31513977052,,1
GluA2_2C-T-2,-127181.7120513916,,1
GluA2_Lormetazepam,-127180.16598510742,,1
GluA2_Glutamate,-127179.53367614746,,1
GluA2_PRO-LAD,-127177.83749389648,,1
GluA2_4F-MPH,-127177.17556762695,,1
GluA2_Lophophora_williamsii,-127177.03100585938,,1
GluA2_4-HO-MiPT,-127176.03004455566,,1
GluA2_THC-O-acetate,-127175.23165893556,,1
GluA2_Salvinorin_A,-127173.54684448242,,1
GluA2_Lisdexamfetamine,-127170.58563232422,,1
GluA2_Ethylmorphine,-127170.26676940918,,1
GluA2_Heroin,-127170.18411254884,,1
GluA2_Creatine,-127169.33641052246,,1
GluA2_Modafinil,-127168.39994812012,,1
GluA2_Allylescaline,-127165.80264282228,,1
GluA2_2C-T-21,-127165.17807006836,,1
"GluA2_1,4-Butanediol",-127164.76748657228,,1
GluA2_Pyrazolam,-127164.68058776855,,1
GluA2_Serotonin,-127164.6016998291,,1
GluA2_DiPT,-127163.72496032716,,1
GluA2_3-FEA,-127162.0357208252,,1
GluA2_2-FA,-127160.80876159668,,1
GluA2_1P-ETH-LAD,-127156.1941986084,,1
GluA2_4-MeO-PCP,-127155.46533203124,,1
GluA2_LAE-32,-127154.74368286131,,1
GluA2_DOC,-127154.22828674316,,1
GluA2_DOM,-127153.05564880373,,1
GluA2_ETH-LAD,-127152.74084472656,,1
GluA2_6-APB,-127151.55876159668,,1
"GluA2_2,5-DMA",-127151.47848510742,,1
GluA2_Kratom,-127150.62747192384,,1
GluA2_1cP-LSD,-127150.0805053711,,1
GluA2_Citicoline,-127149.83331298828,,1
GluA2_Temazepam,-127149.31494140624,,1
GluA2_Tetrahydrocannabiphorol,-127147.81214904784,,1
GluA2_3-FPM,-127146.28315734863,,1
GluA2_6-APDB,-127145.41502380373,,1
GluA2_Amanita_muscaria,-127145.04023742676,,1
GluA2_3-HO-PCP,-127144.58456420898,,1
GluA2_MDAI,-127144.29377746582,,1
GluA2_Tabernanthe_iboga_(botany),-127144.2593536377,,1
GluA2_Butylone,-127143.3014831543,,1
GluA2_Ephenidine,-127142.4138031006,,1
"GluA2_3,4-CTMP",-127142.32121276855,,1
GluA2_Metizolam,-127141.93408203124,,1
GluA2_Baeocystin,-127141.5164642334,,1
GluA2_2C-E,-127141.38835144044,,1
GluA2_AB-FUBINACA,-127140.304397583,,1
GluA2_Methoxetamine,-127139.0463256836,,1
GluA2_Baclofen,-127138.64073181152,,1
GluA2_Armodafinil,-127138.57638549805,,1
GluA2_Pregabalin,-127134.79981994627,,1
GluA2_2C-P,-127134.29794311523,,1
GluA2_Ethylphenidate,-127133.48495483398,,1
GluA2_Flubromazolam,-127132.58700561523,,1
GluA2_Noradrenaline,-127132.24482727052,,1
GluA2_Pentobarbital,-127131.32550048828,,1
GluA2_Methadone,-127130.921585083,,1
GluA2_LSZ,-127128.03419494627,,1
GluA2_ETH-CAT,-127127.05380249023,,1
GluA2_2C-B,-127127.03230285645,,1
GluA2_Mirtazapine,-127126.64888000488,,1
GluA2_Zolpidem,-127125.1223449707,,1
GluA2_4-AcO-DET,-127123.27442932127,,1
GluA2_O-PCE,-127123.09521484376,,1
GluA2_N-Acetylcysteine,-127122.35081481934,,1
GluA2_MDA,-127120.74815368652,,1
GluA2_Flunitrazolam,-127119.7438659668,,1
GluA2_4-AcO-DiPT,-127119.70150756836,,1
GluA2_2C-I,-127118.41226196288,,1
GluA2_Methaqualone,-127116.9374847412,,1
GluA2_8-Chlorotheophylline,-127115.5779876709,,1
GluA2_Bromazepam,-127113.14024353027,,1
GluA2_JWH-018,-127112.7947845459,,1
GluA2_Acetylcholine,-127111.0909423828,,1
GluA2_4-HO-DPT,-127105.89338684082,,1
GluA2_Nitromethaqualone,-127105.86555480956,,1
GluA2_Choline_bitartrate,-127103.98248291016,,1
GluA2_Ibogaine,-127103.29919433594,,1
GluA2_NM-2-AI,-127102.4638671875,,1
GluA2_Eszopiclone,-127102.22413635254,,1
GluA2_Mephedrone,-127101.81146240234,,1
GluA2_TMA-2,-127097.77754211426,,1
GluA2_Prolintane,-127096.3094329834,,1
GluA2_APICA,-127095.48934936523,,1
